Detector geometry infos
Layer / Ladder / Module / Mid_Strip / Mid_Segment / Xrange / Yrange / Zrange / Xmid / Ymid / Zmid
5 / 1 / 0 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / -112.687
5 / 1 / 1 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.3678 / -4.76837e-07 / -106.702
5 / 1 / 2 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / -106.681
5 / 1 / 3 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.3678 / -4.76837e-07 / -100.781
5 / 1 / 4 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / -100.521
5 / 1 / 5 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.3678 / -4.76837e-07 / -94.7074
5 / 1 / 6 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / -94.2014
5 / 1 / 7 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.3678 / -4.76837e-07 / -88.4775
5 / 1 / 8 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / -87.7196
5 / 1 / 9 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.3678 / -4.76837e-07 / -82.0872
5 / 1 / 10 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / -81.0707
5 / 1 / 11 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.3678 / -4.76837e-07 / -75.5323
5 / 1 / 12 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / -74.2507
5 / 1 / 13 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.3678 / -4.76837e-07 / -68.8087
5 / 1 / 14 / 479.5 / 15.5 / 0 / 9.59 / 4.48143 / 21.9722 / -4.76837e-07 / -67.2551
5 / 1 / 15 / 479.5 / 15.5 / 0 / 9.59 / 4.48144 / 21.3678 / -4.76837e-07 / -61.9119
5 / 1 / 16 / 479.5 / 15.5 / 0 / 9.59 / 4.48144 / 21.9722 / -4.76837e-07 / -60.0793
